attraction_mys_fiolent	Мыс Фиолент	Фиолент	Балаклавский район Севастополя	44.504763	33.500234
attraction_mys_tarhankut	Мыс Тарханкут	Оленевка	мыс Тарханкут, район Оленевки	45.347618	32.494822
attraction_mys_kazantip	Мыс Казантип	Щёлкино	север Керченского полуострова, район Щёлкино и Мысового	45.460731	35.844585
attraction_mys_hameleon	Мыс Хамелеон	Коктебель	между Коктебелем и Тихой бухтой	44.962574	35.29471
attraction_mys_ay_todor	Мыс Ай-Тодор	Гаспра	Гаспра, Южный берег Крыма	44.42958	34.127788
attraction_mys_plaka	Мыс Плака	Утёс	посёлок Утёс, городской округ Алушта	44.591175	34.367648
attraction_mys_martyan_zapovednik	Мыс Мартьян	Никита	район Никитского ботанического сада	44.5077	34.2465
attraction_mys_alchak_sudak	Мыс Алчак	Судак	восточная окраина Судака, мыс Алчак-Кая	44.8330556	34.9916667
attraction_mys_svyatogo_ilii_feodosiya	Мыс Святого Ильи	Феодосия	мыс Святого Ильи, юго-восточная окраина Феодосии	45.0127	35.4209
attraction_mys_opuk	Мыс Опук	Керченский полуостров	Опукский природный заповедник, юг Керченского полуострова	45.0333	36.2208
attraction_mys_lukull	Мыс Лукулл	Андреевка	побережье Каламитского залива, район Андреевки и Углового	44.839444	33.554444
attraction_uchan_su_vodopad	Водопад Учан-Су	Ялта	склон Ай-Петри, дорога Ялта - Бахчисарай	44.492	34.092
attraction_dzhur_dzhur_vodopad_15m	Водопад Джур-Джур (15 м)	Генеральское	ущелье Хапхал, район села Генеральское	44.805365	34.459533
attraction_serebryanye_strui_bolshoy_kanon	Водопад Серебряные струи	Соколиное	район Большого каньона Крыма	44.526	34.018
attraction_vodopad_golovkinskogo	Водопад Головкинского	Алушта	ущелье Яман-Дере, горный район Алушты	44.668462	34.303285
attraction_vodopad_kozyrek_laspi	Водопад Козырёк	Передовое	ручей Кобалар-Су, район села Передовое	44.506	33.819
attraction_vodopad_dzhurla	Водопад Джурла	Лучистое	район массива Демерджи и села Лучистое	44.753	34.408
attraction_plachushchaya_skala	Плачущая скала	Пожарское	долина Западного Булганака, район села Пожарское	44.93417	33.84556
attraction_vodopad_sotera	Водопад Сотера	Сотера	долина реки Сотера / Алака, район трассы Алушта - Судак	44.743	34.486
attraction_vodopad_merdven_tuby	Водопад Мердвен-Тубю	Родное	район села Родное и грота Коба-Чаир	44.548413	33.739855
attraction_shtangeevskaya_tropa	Штангеевская тропа	Ялта	район водопада Учан-Су и Ставри-Кая	44.4993	34.0922
attraction_koreizskaya_tropa_ai_petri	Кореизская тропа на Ай-Петри	Кореиз	подъём от Кореиза к плато Ай-Петри	44.4416	34.0768
attraction_tropa_ifigenii_fiolent	Тропа Ифигении	Фиолент	мыс Фиолент, береговые тропы у Севастополя	44.473889	33.633889
attraction_tarakhtashskaya_tropa_sudak_sokol	Тропа «Таракташская»	Судак	район Судака, Нового Света и горы Сокол	44.8358	34.9294
attraction_marshrut_urochishche_haphal	Маршрут по урочищу Хапхал	Генеральское	район села Генеральское и водопада Джур-Джур	44.8054	34.4592
